Date,Open,High,Low,Close,Volume,MA_5,MA_10,MA_20,MA_60,MA_120,MACD,MACD_Signal,MACD_Hist,BB_Middle,BB_Upper,BB_Lower,RSI,Stochastic,Returns
2024-05-17,36377.404487192965,36406.49477466773,36018.62427500421,36023.47265625,4716522,36142.74296875,35993.898828125,35430.3005859375,35323.19869791667,34087.4251953125,242.15902358714084,159.73164840055762,82.42737518658322,35430.3005859375,36830.623379137105,34029.97779273789,59.111796270493016,63.5536513931357,-0.011705205517856032
2024-05-20,36343.46383642552,36551.94421862486,36222.25431189102,36324.0703125,4447271,36187.34765625,36085.5328125,35532.6052734375,35348.997395833336,34125.01463216146,257.7478304110846,179.33488480266303,78.41294560842155,35532.6052734375,36876.279915440755,34188.93063143424,71.88717512739443,75.82692378402179,0.0083444941335451
2024-05-21,36202.86562405659,36285.288111750306,36086.50446495958,36134.98828125,5812774,36207.71171875,36161.167578125,35595.517578125,35378.43072916667,34158.91866861979,251.94051895792654,193.85601163371572,58.08450732421082,35595.517578125,36927.66993790389,34263.36521834611,64.94578573735228,58.23179364887763,-0.005205419701682867
2024-05-22,36071.959320072456,36241.652677088925,35829.54023862036,36134.98828125,6379874,36213.5296875,36154.864453125,35691.2419921875,35409.14147135417,34191.54887695312,244.51951404211286,203.98871211539517,40.530801926717686,35691.2419921875,36874.15401911014,34508.32996526486,61.20308221667595,57.585309841015956,0.0
2024-05-23,36086.50446495958,36304.68163826647,35858.630528394606,36134.98828125,5226850,36150.5015625,36135.95625,35763.97421875,35436.89830729167,34223.701399739584,235.91878923295008,210.37472753890617,25.544061694043904,35763.97421875,36860.93461996553,34667.01381753448,59.624567053035456,57.585309841015956,0.0
2024-05-24,35601.664507057554,35708.32889751857,35475.60659105817,35572.57421875,5643266,36060.321875,36101.532421875,35810.5017578125,35453.525130208334,34251.12734375,181.62685695530672,204.6251534221863,-22.998296466879566,35810.5017578125,36778.44523651732,34842.558279107674,52.335160882624415,14.526952049192735,-0.01556425196882738
2024-05-27,35669.54596184383,36144.68739235365,35591.97185074019,36067.11328125,6649585,36008.93046875,36098.1390625,35849.901953125,35483.0248046875,34284.78416341146,176.47103059013898,198.99432885577684,-22.523298265637862,35849.901953125,36790.53649225615,34909.26741399385,58.616569524988435,44.68903894534556,0.013902256818943748
2024-05-28,35955.59860514301,36173.775781145094,35902.266406564726,36105.8984375,4056913,36003.1125,36105.412109375,35921.6583984375,35518.040690104164,34319.082698567705,173.51447219189868,193.8983575230012,-20.383885331102533,35921.6583984375,36685.99085982885,35157.32593704615,48.56708158089491,47.61930395654169,0.001075360701799255
2024-05-29,35974.99309033456,36062.26396306044,35504.700053978435,35577.42578125,8392854,35891.6,36052.56484375,35947.1125,35537.30319010417,34345.91215820312,127.06334449024143,180.53135491644926,-53.468010426207826,35947.1125,36620.260878039124,35273.96412196088,39.6783310887214,7.692561777096163,-0.014636740231372292
2024-05-30,35276.82494144691,35281.67332310462,34903.499553803784,34932.58984375,6689431,35651.1203125,35900.8109375,35923.112890625,35547.335221354166,34368.24373372396,37.78209165287262,151.98150226373394,-114.19941061086132,35923.112890625,36702.3669580495,35143.858823200506,37.23266794427311,1.5345304470340504,-0.01812486213771658
2024-05-31,35223.490998051755,35305.91348214906,34918.04296875,34918.04296875,5019907,35520.2140625,35790.26796875,35892.0833984375,35548.90182291667,34388.901627604166,-33.75860748356354,114.83348031427445,-148.592087797838,35892.0833984375,36777.93229992462,35006.234496950376,33.94738264880458,0.7671739635486747,-0.00041642704033872935
2024-06-03,35165.31376905176,35688.93901199366,35150.768623414486,35548.3359375,4712955,35416.45859375,35712.69453125,35899.113671875,35565.6037109375,34417.87706705729,-39.14451833139174,84.03788058514122,-123.18239891653296,35899.113671875,36770.89773178351,35027.32961196649,44.29231135706659,34.015510535187445,0.018050638442540512
2024-06-04,35325.310492666256,35470.76194953971,35213.79770906327,35286.5234375,5221701,35252.58359375,35627.848046875,35894.5078125,35580.017838541666,34443.31733398438,-63.80348531094933,54.469607405923114,-118.27309271687244,35894.5078125,36778.754229416605,35010.261395583395,40.76503675318134,20.204742288913597,-0.007364972033017558
2024-06-05,35582.26864595378,35742.26522114338,35325.30444943715,35640.44921875,5142891,35265.18828125,35578.394140625,35866.629296875,35599.93157552083,34474.65263671875,-54.16268788398156,32.74314834794218,-86.90583623192374,35866.629296875,36745.727862771055,34987.53073097894,40.89421051059335,44.70575692792235,0.010030055295100926
2024-06-07,35979.83589868925,36261.042000579015,35878.01989628088,36110.7421875,5570430,35500.81875,35575.96953125,35855.962890625,35619.30084635417,34509.03131510417,-8.475869738816982,24.499344730590348,-32.975214469407334,35855.962890625,36716.676333593874,34995.249447656126,50.97190815226517,73.23525377949214,0.013195483756770043
2024-06-10,35688.941061285215,36004.08590152208,35572.579889505454,35795.60546875,3841367,35676.33125,35598.27265625,35849.9025390625,35638.28763020833,34541.81883138021,2.2761255428704317,20.054700893046366,-17.778575350175934,35849.9025390625,36710.51884613588,34989.28623198913,44.13356124881728,63.668093164944665,-0.008726952138333188
2024-06-11,35868.32611425914,35907.113166018265,35645.30056664411,35829.5390625,2917811,35732.571875,35574.515234375,35836.3271484375,35652.890299479164,34571.02784830729,13.38106806507858,18.71997432745281,-5.3389062623742305,35836.3271484375,36688.79013137757,34983.86416549743,46.48827268554737,66.08987646679245,0.0009479821141626932
2024-06-12,35756.81694332662,36144.6875,35756.81694332662,36144.6875,2806005,35904.2046875,35578.394140625,35841.903125,35670.030989583334,34601.947574869795,47.06907710024825,24.3897948820119,22.679282218236352,35841.903125,36701.21868736425,34982.587562635745,50.10397656988708,88.5814884417522,0.00879577147085997
2024-06-13,36590.736775163205,36828.30747901679,36391.953125,36391.953125,5844059,36054.50546875,35659.846875,35856.205859375,35686.0236328125,34633.813248697916,92.6513097961797,38.04209786484546,54.609211931334244,35856.205859375,36743.10233858214,34969.309380167855,52.616002780519494,77.32997935529072,0.0068409949594943065
2024-06-14,36411.34025195857,36648.91091405524,36353.15968164918,36513.15625,6306218,36134.98828125,35817.903515625,35859.3572265625,35715.133463541664,34669.3162109375,136.97665524404147,57.829009340684664,79.1476459033568,35859.3572265625,36755.538727302126,34963.17572582287,60.52060130954264,83.62687388758997,0.0033304924466046604
2024-06-17,36333.764616363485,36493.76117792473,36231.94862264269,36314.37109375,7201864,36238.74140625,35957.536328125,35873.9021484375,35737.25774739583,34699.89850260417,154.28599713060248,77.12040689866824,77.16559023193425,35873.9021484375,36790.508445233296,34957.2958516417,52.96157042116454,73.29934179225106,-0.005444206326315593
2024-06-18,36566.48824873663,36760.42348208978,36469.52063206005,36697.39453125,4844002,36412.3125,36072.4421875,35892.568359375,35772.71139322917,34732.12018229167,196.6437785559101,101.02508123011663,95.61869732579348,35892.568359375,36861.486749376716,34923.649969373284,56.54501586730764,93.19864875596346,0.010547434141463752
2024-06-19,37036.79299519168,37264.66696701705,37002.85431853684,37245.2734375,6540410,36632.4296875,36268.3171875,35948.0826171875,35807.15729166667,34768.0318359375,271.2945596178324,135.0789769076598,136.2155827101726,35948.0826171875,37087.678157095885,34808.48707727912,68.37612943931951,99.17864657082237,0.014929640462170823
2024-06-20,37211.3247440069,37477.98570308448,37162.84093326553,37390.71484375,4450633,36832.18203125,36443.34375,36010.8689453125,35828.1400390625,34804.916666666664,338.29212636586453,175.72160679930076,162.57051956656377,36010.8689453125,37319.635502287776,34702.10238833722,80.43222581593649,96.59090579785303,0.0039049627731706504
2024-06-21,37099.816852766155,37172.54257843154,36871.942912347964,37070.7265625,5744918,36943.69609375,36539.3421875,36057.655859375,35845.54602864583,34833.840625,361.4017858394873,212.85764260733805,148.54414323214922,36057.655859375,37449.37908357754,34665.93263517246,74.77693042962979,82.5001653630769,-0.008557961049613039
2024-06-24,36799.21629443694,36901.03230789981,36634.371320258964,36789.51953125,4284623,37038.72578125,36638.73359375,36118.503125,35860.660416666666,34862.252278645836,352.95663580213295,240.87744124629705,112.0791945558359,36118.503125,37527.236540607664,34709.76970939234,65.534045609256,69.59324165429567,-0.0075856897699562165
2024-06-25,36799.2159627546,36983.45446164586,36755.58052880667,36896.18359375,4339239,37078.48359375,36745.398046875,36159.956640625,35871.64459635417,34890.67711588542,350.82658151871874,262.8672693007814,87.95931221793734,36159.956640625,37610.49518587507,34709.41809537493,70.95969229298086,72.97314182725746,0.0028993056680013396
2024-06-26,36721.646879683634,37201.63671875,36658.61791091734,37201.63671875,6350700,37069.75625,36851.09296875,36214.7435546875,35887.400390625,34920.492936197916,369.52634290329297,284.19908402128374,85.32725888200923,36214.7435546875,37737.6519781882,34691.835131186795,70.58841710934635,85.49658123403127,0.008278718697934506
2024-06-27,36818.60938621314,37182.23800143121,36736.18690009705,37157.99609375,5404909,37023.2125,36927.697265625,36293.7720703125,35902.74811197917,34946.84013671875,376.48472327122727,302.65621187127243,73.82851139995483,36293.7720703125,37841.271179927106,34746.2729606979,65.56204513449913,83.2062226821159,-0.0011730834675347523
2024-06-28,37293.749391944475,37376.171875,37138.60118854585,37376.171875,5339707,37084.3015625,37013.998828125,36415.951171875,35919.73619791667,34970.34820963542,395.05035741110623,321.1350409792392,73.91531643186704,36415.951171875,37895.303571003264,34936.598772746736,74.18388900244932,94.44455427394185,0.005871570164858841
2024-07-01,37225.86900711257,37473.13643604754,37191.93034039601,37448.89453125,3782571,37216.1765625,37127.451171875,36542.49375,35937.53723958333,34992.710774739586,410.89532132512977,339.0870970484173,71.80822427671245,36542.49375,37911.18726772517,35173.800232274836,74.48673284590822,98.3098013097465,0.0019456956826187088
2024-07-02,37250.119536649174,37400.419381193766,37070.72939961207,37182.2421875,5676869,37273.38828125,37175.9359375,36624.1890625,35949.217513020834,35020.89208984375,397.35548704038956,350.7407750468118,46.61471199357777,36624.1890625,37936.93829228164,35311.439832718366,65.92268791498117,76.26527169804434,-0.007120432981739588
2024-07-03,37337.38671875,37351.93186355668,37022.24191460525,37337.38671875,4825685,37300.53828125,37185.147265625,36726.7322265625,35972.66458333333,35052.834375,394.5952890305198,359.5116778435534,35.08361118696638,36726.7322265625,37913.92037988005,35539.54407324494,64.93113433708703,88.71630816278523,0.0041725437230937246
2024-07-04,37637.98588814631,37836.76953125,37628.28912506808,37836.76953125,5995175,37436.29296875,37229.752734375,36836.5482421875,35995.8923828125,35089.73427734375,427.7727338771365,373.16388905027003,54.60884482686646,36836.5482421875,38006.8568409879,35666.239643387096,68.67315841971553,100.0,0.01337487318707331
2024-07-05,38035.554188160546,38675.540568381984,38025.85742482386,38534.9375,6869265,37668.04609375,37376.173828125,36957.7580078125,36036.98352864583,35133.3677734375,504.58586641932925,399.4482845240819,105.13758189524737,36957.7580078125,38300.93578139738,35614.58023422763,77.45817743760065,93.62639176251463,0.018452103004548803
2024-07-08,38491.30530780579,38617.36324180289,38399.186048346375,38408.8828125,4212277,37860.04375,37538.11015625,37088.421875,36073.4189453125,35176.98583984375,548.9611847481792,429.35086456890133,119.61032017927789,37088.421875,38463.63896985114,35713.20478014886,72.59942869698968,86.93602913490919,-0.003271179238321098
2024-07-09,38651.30112224843,38660.99788620283,38316.76276582154,38544.63671875,4884271,38132.52265625,37702.95546875,37224.1767578125,36115.86920572917,35224.760416666664,588.3015755642482,461.1410067679707,127.16056879627752,37224.1767578125,38612.131917619285,35836.221598005715,69.25296836636534,93.586820409314,0.003534440377052972
2024-07-10,38394.33904696741,38588.274337013965,38384.64228246508,38530.09375,3486449,38371.0640625,37835.801171875,37343.4470703125,36158.3166015625,35271.975911458336,611.2594047584425,491.1646863660651,120.09471839237744,37343.4470703125,38750.65458732045,35936.23955330454,67.56375933493025,92.8743381512468,-0.000377302005882596
2024-07-11,38840.378054750036,38971.28433455009,38651.29120614995,38767.65234375,7478311,38557.240625,37996.766796875,37462.23203125,36210.551171875,35323.79829101563,641.2309319218912,521.1779354772303,120.05299644466083,37462.23203125,38930.98942404019,35993.47463845981,76.84056907223629,91.28628282033607,0.006165533758920594
