N,종목명,닉네임,작성시간,제목,내용,크롤링일자,형태소,긍정_형태소_수,부정_형태소_수,중립_형태소_수,감성_점수,감성,신뢰도
461,삼영,해박한정보수사관,2분 전,오늘ㅎ ㅏ 루종일 48% 먹었네요,1412 11111111111111111111,2026-02-11 13:43:04,,0,0,0,0,중립,0.0
462,현대바이오,진성산업개발,2분 전,진짜 신한이랑 후준이,예전에 컨퍼런스 신한이 후원 ㅋㅋ. 둘이. 다 해먹엇나,2026-02-11 13:43:04,"예전에, 컨퍼런스, 신한이, 후원, 둘이, 해먹엇나",0,0,6,0,중립,0.0
463,압타바이오,타락파워전사,2분 전,어째 분위기가,슬슬 내년 으로 기울어 가나여?,2026-02-11 13:43:04,"슬슬, 내년, 기울어, 가나여",0,0,4,0,중립,0.0
464,HD현대일렉트릭,뼝알이,2분 전,하한까아 가즈앙,순시간 퍽락 요이따앙,2026-02-11 13:43:04,"순시간, 퍽락, 요이따앙",0,0,3,0,중립,0.0
465,아크릴,주식은차갑고차분하게,2분 전,아크릴 주주방,https://open.kakao.com/o/gIv5uMfi 오세요,2026-02-11 13:43:04,오세요,0,0,1,0,중립,0.0
466,DL이앤씨,텐버거장투,3분 전,smr 원전 관련주라고 왔더만 개떵이다,개떵이네 젠장할,2026-02-11 13:43:09,"개떵이네, 젠장할",1,0,1,2,긍정,0.5
467,현대바이오,주가조작이꿈입니다,3분 전,내 이럴거 같드라,아침에 욕심 안내고 10퍼만 먹고 나왔다 1만 밑에서 다시 올까 생각중,2026-02-11 13:43:10,"아침에, 욕심, 안내고, 퍼만, 먹고, 나왔다, 밑에서, 다시, 올까, 생각중",0,1,9,-1,부정,0.1
468,카카오뱅크,C컵독신녀,3분 전,일희일비,하지말고 딱 일년만 묻어둬봐 그럼 15000 윈대 가 잇슬거야,2026-02-11 13:43:10,"하지말고, 일년만, 묻어둬봐, 그럼, 윈대, 잇슬거야",0,0,6,0,중립,0.0
469,아크릴,샘들이,3분 전,안티글 올리는 지금도 주가는 상승하고 있다..,안티글 적을시간에 올라타라~~ 진득히 가지고있으면 상가있다~ 내일 갭까지 주는종목이다~~ ㅉㅉ,2026-02-11 13:43:10,"안티글, 적을시간에, 올라타라, 진득히, 가지고있으면, 상가있다, 내일, 갭까지, 주는종목이다",1,1,7,1,긍정,0.222
470,이스트소프트,하나둘셋,3분 전,하나더 잡개미헌터,날 차단해서 나한테는 글이 안보여서 뭐라는지 알수없지만 대충 감은온다 수리수리 하고 잡개미헌터 그들이 광고하는 종목 맹신해선 절대 안된다 떠바치기용 매수자 될수잇음 단 단타 잘하면 들어가서 단타로 조금식 먹고 나올수는 있다 근데 꽉잡으란다고 잡고 기다리다간 폐가망신 수리랑 잡개미 그 밑에 댓글다는애들 다 한패거리,2026-02-11 13:43:10,"차단해서, 나한테는, 글이, 안보여서, 뭐라는지, 알수없지만, 대충, 감은온다, 수리수리, 하고",3,4,31,-1,부정,0.184
471,CG인바이츠,차트꼬라지하고는,3분 전,상한가 7종목...,"그중 3종목이 동전주...ㅋㅋㅋ 개바이츠야~ 호재 언제 나오노??? 몇일전 언급한 코디 이제 지폐주로 등극했다. 금호에이치티도 차트이쁘네...금호 상한가 확률이 높을까, 이런씨지 10% 오르는 확률이 높을까?",2026-02-11 13:43:11,"그중, 종목이, 동전주, 개바이츠야, 호재, 나오노, 몇일전, 언급한, 코디, 이제",3,0,19,8,긍정,0.136
472,우리기술,희망찬속보기술자,3분 전,낼도 가장!!,ㅎㅎㅎㅎㅎㅎㅎ 조아,2026-02-11 13:43:11,조아,0,0,1,0,중립,0.0
